id,datetime,side,price,size,buy_child_order_acceptance_id,sell_child_order_acceptance_id
400153834,2018:09:02:06:51:46:558,BUY,808669,0.05,JRF20180902-065146-200803,JRF20180902-065145-640326
400153835,2018:09:02:06:51:46:558,BUY,808670,0.01,JRF20180902-065146-200803,JRF20180902-065145-083758
400153836,2018:09:02:06:51:46:558,BUY,808673,0.02,JRF20180902-065146-200803,JRF20180902-065145-697628
400153837,2018:09:02:06:51:46:558,BUY,808674,0.17,JRF20180902-065146-200803,JRF20180902-065145-361703
400153838,2018:09:02:06:51:46:605,SELL,808666,0.05,JRF20180902-065146-361710,JRF20180902-065145-407019
400153839,2018:09:02:06:51:46:651,SELL,808666,0.01,JRF20180902-065146-361710,JRF20180902-065146-361709
400153840,2018:09:02:06:51:46:651,SELL,808666,0.2059957,JRF20180902-065146-361710,JRF20180902-065146-541069
400153841,2018:09:02:06:51:46:651,SELL,808606,0.01,JRF20180902-065146-967005,JRF20180902-065146-541069
400153842,2018:09:02:06:51:46:651,SELL,808559,0.2840043,JRF20180902-065142-541040,JRF20180902-065146-541069
400153843,2018:09:02:06:51:46:776,BUY,808648,0.05,JRF20180902-065146-227886,JRF20180902-065145-912580
400153844,2018:09:02:06:51:46:823,SELL,808638,0.04,JRF20180902-065146-967006,JRF20180902-065146-050461
400153845,2018:09:02:06:51:46:823,SELL,808577,0.01,JRF20180902-065146-640333,JRF20180902-065146-050461
400153846,2018:09:02:06:51:46:823,SELL,808559,0.015768,JRF20180902-065142-541040,JRF20180902-065146-050461
400153847,2018:09:02:06:51:47:042,BUY,808664,0.01,JRF20180902-065146-515363,JRF20180902-065146-361713
400153848,2018:09:02:06:51:47:183,SELL,808663,0.02,JRF20180902-065146-453441,JRF20180902-065146-453442
400153849,2018:09:02:06:51:47:183,SELL,808662,0.03,JRF20180902-065146-361712,JRF20180902-065146-453442
400153850,2018:09:02:06:51:47:261,SELL,808670,0.02,JRF20180902-065147-361714,JRF20180902-065147-541071
400153851,2018:09:02:06:51:47:276,SELL,808670,0.23,JRF20180902-065147-361714,JRF20180902-065147-697629
400153852,2018:09:02:06:51:47:308,BUY,808674,0.01,JRF20180902-065147-967009,JRF20180902-065145-361703
400153853,2018:09:02:06:51:47:355,SELL,808670,0.02,JRF20180902-065147-361714,JRF20180902-065147-967010
400153854,2018:09:02:06:51:47:370,SELL,808670,0.0484605,JRF20180902-065147-361714,JRF20180902-065147-016939
400153855,2018:09:02:06:51:47:386,SELL,808670,0.096921,JRF20180902-065147-361714,JRF20180902-065147-800702
400153856,2018:09:02:06:51:47:464,BUY,808674,0.02,JRF20180902-065146-096691,JRF20180902-065145-361703
400153857,2018:09:02:06:51:47:480,SELL,808668,0.15,JRF20180902-065147-016936,JRF20180902-065147-050464
400153858,2018:09:02:06:51:47:480,SELL,808665,0.26,JRF20180902-065147-151626,JRF20180902-065147-050464
400153859,2018:09:02:06:51:47:480,SELL,808661,0.39,JRF20180902-065146-407023,JRF20180902-065147-050464
400153860,2018:09:02:06:51:47:495,SELL,808661,0.01,JRF20180902-065146-407023,JRF20180902-065108-089492
400153861,2018:09:02:06:51:47:511,SELL,808661,2.6,JRF20180902-065146-407023,JRF20180902-065147-361716
400153862,2018:09:02:06:51:47:511,SELL,808661,0.01,JRF20180902-065147-640338,JRF20180902-065147-361716
400153863,2018:09:02:06:51:47:511,SELL,808656,0.01,JRF20180902-065147-200805,JRF20180902-065147-361716
400153864,2018:09:02:06:51:47:511,SELL,808631,0.0198355,JRF20180902-065146-151621,JRF20180902-065147-361716
400153865,2018:09:02:06:51:47:636,SELL,808613,0.01,JRF20180902-065147-453446,JRF20180902-065139-094273
400153866,2018:09:02:06:51:47:667,BUY,808621,0.43,JRF20180902-065147-773976,JRF20180902-065147-361716
400153867,2018:09:02:06:51:47:667,BUY,808621,0.1,JRF20180902-065147-773977,JRF20180902-065147-361716
400153868,2018:09:02:06:51:47:683,SELL,808613,0.01,JRF20180902-065147-453446,JRF20180902-065141-095641
400153869,2018:09:02:06:51:47:683,SELL,808613,0.017,JRF20180902-065147-453446,JRF20180902-065125-092150
400153870,2018:09:02:06:51:47:698,BUY,808621,0.05,JRF20180902-065147-407026,JRF20180902-065147-361716
400153871,2018:09:02:06:51:47:714,BUY,808621,0.12,JRF20180902-065147-541074,JRF20180902-065147-361716
400153872,2018:09:02:06:51:47:745,BUY,808621,0.05,JRF20180902-065147-394868,JRF20180902-065147-361716
400153873,2018:09:02:06:51:47:761,SELL,808613,0.043,JRF20180902-065147-453446,JRF20180902-065147-800704
400153874,2018:09:02:06:51:47:761,SELL,808591,0.0275333,JRF20180902-065146-800700,JRF20180902-065147-800704
400153875,2018:09:02:06:51:47:901,SELL,808591,0.0024667,JRF20180902-065146-800700,JRF20180902-065146-096723
400153876,2018:09:02:06:51:47:901,SELL,808563,0.0075333,JRF20180902-065139-094229,JRF20180902-065146-096723
400153877,2018:09:02:06:51:47:964,BUY,808621,0.05,JRF20180902-065147-640339,JRF20180902-065147-361716
400153878,2018:09:02:06:51:47:980,BUY,808621,0.05,JRF20180902-065147-083765,JRF20180902-065147-361716
400153879,2018:09:02:06:51:48:042,BUY,808621,0.1,JRF20180902-065147-361717,JRF20180902-065147-361716
400153880,2018:09:02:06:51:48:089,BUY,808621,0.1,JRF20180902-065147-016944,JRF20180902-065147-361716
400153881,2018:09:02:06:51:48:198,SELL,808615,0.061364,JRF20180902-065147-773981,JRF20180902-065148-453456
400153882,2018:09:02:06:51:48:214,BUY,808619,0.15,JRF20180902-065148-016945,JRF20180902-065147-361719
400153883,2018:09:02:06:51:48:214,BUY,808620,0.05,JRF20180902-065148-016945,JRF20180902-065148-361720
400153884,2018:09:02:06:51:48:214,BUY,808620,0.01,JRF20180902-065148-016945,JRF20180902-065148-541076
400153885,2018:09:02:06:51:48:214,BUY,808620,0.2059957,JRF20180902-065148-016945,JRF20180902-065148-697630
400153886,2018:09:02:06:51:48:214,BUY,808621,0.0840043,JRF20180902-065148-016945,JRF20180902-065147-361716
400153887,2018:09:02:06:51:48:323,SELL,808615,0.0198355,JRF20180902-065147-773981,JRF20180902-065148-200808
400153888,2018:09:02:06:51:48:355,BUY,808621,0.1,JRF20180902-065148-050467,JRF20180902-065147-361716
400153889,2018:09:02:06:51:48:370,SELL,808615,0.08,JRF20180902-065147-773981,JRF20180902-065148-541078
400153890,2018:09:02:06:51:48:558,BUY,808618,0.01,JRF20180902-065147-394872,JRF20180902-065148-151629
400153891,2018:09:02:06:51:48:823,BUY,808618,0.01,JRF20180902-065148-111796,JRF20180902-065148-151629
400153892,2018:09:02:06:51:48:870,SELL,808616,0.02,JRF20180902-065148-453460,JRF20180902-065148-453466
400153893,2018:09:02:06:51:48:870,SELL,808615,0.0988005,JRF20180902-065147-773981,JRF20180902-065148-453466
400153894,2018:09:02:06:51:48:870,SELL,808569,0.030682,JRF20180902-065148-050466,JRF20180902-065148-453466
400153895,2018:09:02:06:51:48:870,SELL,808563,0.0024667,JRF20180902-065139-094229,JRF20180902-065148-453466
400153896,2018:09:02:06:51:48:870,SELL,808560,0.2,JRF20180902-065147-016941,JRF20180902-065148-453466
400153897,2018:09:02:06:51:48:870,SELL,808560,0.01,JRF20180902-065147-407027,JRF20180902-065148-453466
400153898,2018:09:02:06:51:48:870,SELL,808559,0.0380508,JRF20180902-065142-541040,JRF20180902-065148-453466
400153899,2018:09:02:06:51:48:917,SELL,808559,0.0546717,JRF20180902-065142-541040,JRF20180902-065148-361721
400153900,2018:09:02:06:51:48:979,BUY,808618,0.02,JRF20180902-065148-697634,JRF20180902-065148-151629
400153901,2018:09:02:06:51:49:011,BUY,808618,0.01,JRF20180902-065148-016950,JRF20180902-065148-151629
